english,greek,attribute
marker,μαρκαδόρος,masculine
"mattress; layer, stratum",στρώμα,neuter
meal; lunch,γεύμα,neuter
measuring cup,δοσομετρητής,masculine
meat,κρέας,masculine
meds,φάρμακα,neuter
menu,μενού,neuter
midday,μεσημέρι,neuter
middle,μέση,feminine
midnight,μεσάνυχτα,neuter
milk,γάλα,neuter
mind,μυαλό,neuter
mint,μέντα,feminine
minute,λεπτό,neuter
mirror,καθρέφτης,masculine
Miss,δεσποινίς,feminine
mom,μαμά,feminine
monday,δευτέρα,feminine
money,λεφτά,neuter
"moneybox, piggy bank",κουμπαράς,masculine
month,μήνας,masculine
moon,φεγγάρι,neuter
morning,πρωί,neuter
mosquito,κουνούπι,neuter
moter car,αυτοκίνητο,neuter
mother,μητέρα,feminine
mother-in-law,πεθερά,feminine
mountain,βουνό,neuter
mouse,ποντίκι,neuter
mouth,στόμα,neuter
Mr,κύριος,masculine
Mrs,κύρια,feminine
mythology,μυθολογία,feminine
name,όνομα,neuter
"nap, snooze",υπνάκος,masculine
"neck, throat",λαιμός,masculine
nephew,ανιψιός,masculine
newspaper,εφημερίδα,feminine
niece,ανιψιά,feminine
night,νύχτα,feminine
nightgown,νυχτικό,neuter
nightstand,κομοδίνο,neuter
nose,μύτη,feminine
notebook,τετράδιο,neuter
object,αντικείμενο,neuter
olive,ελιά,feminine
onion ,κρεμμύδι,neuter
orange,πορτοκάλι,neuter
oven,φούρνος,masculine
owl,κουκουβάγια,feminine
"painting; table, chart, diagram",πίνακας,masculine
pan,τηγάνι,neuter
pants,παντελόνι,neuter
"paper, material, document",χαρτί,neuter
parent,γονιός,masculine
park,πάρκο,neuter
passport ,διαβατήριο,neuter
"path, footpath, trail",μονοπάτι,neuter
pen,στυλό,neuter
pencil,μολύβι,neuter
pencil case,κασετίνα,feminine
pepper,πιπέρι,neuter
perscription,συνταγή,feminine
person,άνθρωπος,masculine
pet,κατοικίδιο,neuter
pharmacy,φαρμακείο,neuter
pig,γουρούνι,neuter
pill,χάπι,neuter
pillow,μαξιλάρι,neuter
pineapple ,ανανάς,masculine
planet,πλανήτης,masculine
plant,φυτό,neuter
pocket,τσέπη,feminine
Poland,Πολωνία,feminine
police station,αστυνομικό τμήμα,neuter
"port, harbour",λιμάνι,neuter
post office,ταχυδρομείο,neuter
postage stamp,γραμματόσημο,neuter
potato ,πατάτα,feminine
pyjama,πιτζάμα,feminine
rabbit,κουνέλι,neuter
razor,ξυράφι,neuter
reading lamp,πορτατίφ,masculine
refrigerator,ψυγείο,neuter
remembrance,ανάμνηση ,feminine
reptile,ερπετό,neuter
revelation; apocalypse,αποκάλυψη,feminine
"riches, wealth",πλούτη,neuter
river,ποτάμι,neuter
road; way; journey,δρόμος,masculine
"robe, gown",ρόμπα,feminine
rock,βράχος,masculine
"rug, carpet",χαλί,neuter
ruler,χάρακας,masculine
sandal,πέδιλο,neuter
saturday,σάββατο,neuter
"saucepan, pot",κατσαρόλα,feminine
scarf,κασκόλ,neuter
school,σχολείο,neuter
scissor,ψαλίδι,neuter
sharpener,ξύστρα,feminine
ship,πλοίο,neuter
shirt,πουκάμισο,neuter
shoe,παπούτσι,neuter
shorts,σορτς,neuter
shoulder,ώμος,masculine
shower,ντους,neuter
singlet,φανέλα,feminine
sister,αδελφή,feminine
skirt,φούστα,feminine
sky,ουρανός,masculine
sleep,ύπνος,masculine
sleeve,μανίκι,neuter
slipper,παντόφλα,feminine
small cup ,φλιτζάνι,neuter
"sneakers, athletic shoes",αθλητικά παπούτσια,neuter
soap,σαπούνι,neuter
sock,κάλτσα,feminine
son,γιός,masculine
south,νότος,masculine
spatula,σπάτουλα,feminine
spinach ,σπανάκι,neuter
sponge,σφουγγάρι,neuter
spoon,κουτάλι,neuter
"spouse (husband, wife)",σύζυγος,invariable
star,αστέρι,neuter
"stocking, tights",καλτσόν,neuter
stomach (organ),στομάχι,neuter
"stomach, belly, tummy",κοιλιά,feminine
strawberry ,φράουλα,feminine
stupidity,βλακεία,feminine
"suit jacket, blazer",σακάκι,neuter
sun,ήλιος,masculine
sunday,κυριακή,feminine
survival,επιβίωση,feminine
sweater,πουλόβερ,neuter
swimsuit,μαγιό,neuter
syrup,σιρόπι,neuter
t-shirt,κοντομάνικο,neuter
table,τραπέζι,neuter
tea,τσάι,neuter
teeth,δόντι,neuter
television,τηλεόραση,feminine
thing,πράγμα,neuter
thursday,πέμπτη,feminine
tomato ,ντομάτα,feminine
toothbrush,οδοντόβουρτσα,feminine
toothpaste,οδοντόκρεμα,feminine
towel,πετσέτα,feminine
town square,πλατεία,feminine
toy,παιχνίδι,neuter
train,τρένο,neuter
train station,σιδηροδρομικός σταθμός,masculine
tree,δέντρο,neuter
"truck, van",φορτηγό,neuter
tuesday,τρίτη,feminine
turkey,γαλοπούλα,feminine
umbrella,ομπρέλα,feminine
uncle,θείος,masculine
university,πανεπιστήμιο,neuter
use,χρήση,feminine
vase; jar,βάζο,neuter
wait,αναμονή,feminine
wall,τείχος,masculine
"wallet, purse",πορτοφόλι,neuter
water,νερό,neuter
waterfall,καταράχτης,masculine
watermelon ,καρπούζι,neuter
wave,κύμα,neuter
weakness,αδυναμία,feminine
weather,καιρός,masculine
wednesday,τετάρτη,feminine
week,εβδομάδα,feminine
weekend,σαββατοκύριακο,neuter
well,πηγάδι,neuter
wheel,ρόδα,feminine
"whisk, wire",σύρμα,neuter
wind,άνεμος,masculine
window,παράθυρο,neuter
wine,κρασί,neuter
wolf,λύκος,masculine
woman,γυναίκα,feminine
word,λέξη,feminine
yard,αυλή,feminine
young girl,κορίτσι,neuter
